慼心	慼心 💔
心碎	心碎 💔
失戀	失戀 💔
火燒心	火燒心 ❤️‍🔥
燃燒的心	燃燒的心 ❤️‍🔥
愛火	愛火 ❤️‍🔥
補補心	補補心 ❤️‍🩹
受傷的心	受傷的心 ❤️‍🩹
粉紅心	粉紅心 🩷
橘仔心	橘仔心 🧡
黃心	黃心 💛
綠心	綠心 💚
藍心	藍心 💙 🩵
淺藍心	淺藍心 🩵
紫心	紫心 💜
咖啡心	咖啡心 🤎
烏心	烏心 🖤
烏色的心	烏色的心 🖤
灰色心	灰色心 🩶
白心	白心 🤍
唚	唚 💋
唚喙	唚喙 💋
喙唇	喙唇 💋 👄
喙唇印	喙唇印 💋
紅喙唇	紅喙唇 💋 👄
kiss	kiss 💋
一百分	一百分 💯
滿分	滿分 💯
火氣大	火氣大 💢
爆炸	爆炸 💥
水珠	水珠 💦 💧
風	風 💨
孔	孔 🕳
對話框	對話框 💬 🗨 🗯
證人	證人 👁️‍🗨️
受氣對話框	受氣對話框 🗯
思考框	思考框 💭💤
ZZZ	ZZZ 💤
掰掰	掰掰 👋
你好	你好 👋
再會	再會 👋
手後背	手後背 🤚
手伸開	手伸開 🖐
手攑起來	手攑起來 ✋
手掌	手掌 ✋
瓦肯攑手禮	瓦肯攑手禮 🖖
正手	正手 🫱 🫸
倒手	倒手 🫲 🫷
手掌向下	手掌向下 🫳
手掌向上	手掌向上 🫴
向倒爿捒	向倒爿捒 🫷
向正爿捒	向正爿捒 🫸
OK	OK 👌 🙆‍♂️ 🙆‍♀️ 🆗
好	好 👌 🙆‍♂️ 🙆‍♀️
好啦	好啦 👌
無問題	無問題 👌
捏做伙	捏做伙 🤌
一點仔	一點仔 🤏
小可	小可 🤏
YA	YA ✌️
勝利	勝利 ✌️
贏矣	贏矣 ✌️
手指交叉	手指交叉 🤞
比心	比心 🫰
愛你	愛你 🫶
搖滾	搖滾 🤘
rock	rock 🤘
敲電話	敲電話 🤙
六六六	六六六 🤙
指倒爿	指倒爿 👈
指正爿	指正爿 👉
指頂頭	指頂頭 👆
頂懸	頂懸 👆
頂頭	頂頭 👆
指下跤	指下跤 👇
下跤	下跤 👇
下底	下底 👇
中指	中指 🖕
比中指	比中指 🖕
一个	一个 ☝️
第一	第一 ☝️
就是你	就是你 🫵
指你	指你 🫵
著	著 👍
讚	讚 👍
𠢕	𠢕 👍
gâu	gâu 👍
強	強 👍
厲害	厲害 👍
無好	無好 👎
䆀	䆀 👎
爛	爛 👎
攑拳頭	攑拳頭 ✊
拳頭拇	拳頭拇 👊
拳頭母	拳頭母 👊
摃你	摃你 👊
倒拳	倒拳 🤛
正拳	正拳 🤜
拍噗	拍噗 👏
拍噗仔	拍噗仔 👏
歡呼	歡呼 🙌
雙手打開	雙手打開 👐
雙手向上	雙手向上 🤲
握手	握手 🤝
合作	合作 🤝
合作快樂	合作快樂 🤝
拜拜	拜拜 🙏
祈禱	祈禱 🙏
感謝	感謝 🙏
多謝	多謝 🙏
寫字	寫字 ✍️
抹指甲油	抹指甲油 💅
美甲	美甲 💅
自拍	自拍 🤳
肌肉	肌肉 💪
勇	勇 💪
勇健	勇健 💪
健身	健身 💪
加油	加油 💪 ⛽
拍拚	拍拚 💪
骨力	骨力 💪
機械手	機械手 🦾
機械跤	機械腿 🦿
跤	跤 🦵 🦶
大腿	大腿 🦵
踏	踏 🦶
耳仔	耳仔 👂
聽	聽 👂
助聽器	助聽器 🦻
鼻仔	鼻仔 👃
鼻	鼻 👃
頭腦	頭腦 🧠
腦	腦 🧠
心臟	心臟 🫀
肺	肺 🫁
喙齒	喙齒 🦷
骨頭	骨頭 🦴
目睭	目睭 👀 👁
看	看 👀
看覓	看覓 👀
孤目	孤目 👁
喙舌	喙舌 👅
喙	喙 👄
咬喙唇	咬喙唇 🫦
誘惑	誘惑 🫦
紅嬰仔	紅嬰仔 👶
baby	baby 👶
囡仔	囡仔 🧒
查埔囡仔	查埔囡仔 👦
後生	後生 👦
查某囡仔	查某囡仔 👧
查某囝	查某囝 👧
金毛	金毛 👱 👱‍♀️ 👱‍♂️
金毛查某	金毛查某 👱 👱‍♀️
查埔人	查埔人 👨
阿爸	阿爸 👨
老爸	老爸 👨
喙鬚	喙鬚 🧔
